Time,Bike ID,Action,Station
2024-12-14 00:00:00,Bike_91,Borrow,Station_1
2024-12-14 00:00:00,Bike_20,Borrow,Station_2
2024-12-14 00:00:00,Bike_33,Borrow,Station_2
2024-12-14 00:00:00,Bike_49,Borrow,Station_2
2024-12-14 00:00:00,Bike_3,Borrow,Station_2
2024-12-14 00:00:00,Bike_16,Borrow,Station_3
2024-12-14 00:00:00,Bike_63,Borrow,Station_3
2024-12-14 00:00:00,Bike_53,Borrow,Station_3
2024-12-14 00:00:00,Bike_98,Borrow,Station_3
2024-12-14 00:00:00,Bike_19,Borrow,Station_4
2024-12-14 00:00:00,Bike_100,Borrow,Station_4
2024-12-14 00:00:00,Bike_90,Borrow,Station_5
2024-12-14 00:00:00,Bike_78,Borrow,Station_5
2024-12-14 00:00:00,Bike_70,Borrow,Station_5
2024-12-14 00:00:00,Bike_98,Return,Station_6
2024-12-14 00:00:00,Bike_11,Borrow,Station_6
2024-12-14 00:00:00,Bike_20,Return,Station_6
2024-12-14 00:00:00,Bike_97,Borrow,Station_7
2024-12-14 00:00:00,Bike_71,Borrow,Station_7
2024-12-14 00:00:00,Bike_28,Borrow,Station_7
2024-12-14 00:00:00,Bike_30,Borrow,Station_8
2024-12-14 00:00:00,Bike_35,Borrow,Station_8
2024-12-14 00:00:00,Bike_52,Borrow,Station_9
2024-12-14 00:00:00,Bike_57,Borrow,Station_10
2024-12-14 00:00:00,Bike_13,Borrow,Station_10
2024-12-14 00:00:00,Bike_70,Return,Station_10
2024-12-14 00:00:00,Bike_57,Return,Station_11
2024-12-14 00:00:00,Bike_73,Borrow,Station_11
2024-12-14 00:00:00,Bike_39,Borrow,Station_12
2024-12-14 00:00:00,Bike_90,Return,Station_12
2024-12-14 00:15:00,Bike_25,Borrow,Station_1
2024-12-14 00:15:00,Bike_11,Return,Station_1
2024-12-14 00:15:00,Bike_33,Return,Station_1
2024-12-14 00:15:00,Bike_7,Borrow,Station_1
2024-12-14 00:15:00,Bike_43,Borrow,Station_2
2024-12-14 00:15:00,Bike_23,Borrow,Station_3
2024-12-14 00:15:00,Bike_32,Borrow,Station_3
2024-12-14 00:15:00,Bike_4,Borrow,Station_4
